Permission,Owner,Super Admin,Church Admin,Lead Pastor,Pastor,Minister,Social Manager,Staff,Member
System Management,✓,✗,✗,✗,✗,✗,✗,✗,✗
Multi-Church Control,✓,✗,✗,✗,✗,✗,✗,✗,✗
Church Portal Management,✓,✓,✓,✗,✗,✗,✗,✗,✗
User Management,✓,✓,✓,✗,✗,✗,✗,✗,✗
Role Assignment,✓,✓,✓,✗,✗,✗,✗,✗,✗
Content Moderation,✓,✓,✓,✓,✗,✗,✗,✗,✗
Content Creation,✓,✓,✓,✓,✓,✓,✓,Draft Only,Submit for Review
Content Publishing,✓,✓,✓,✓,✓,✗,✓,✗,✗
Content Approval,✓,✓,✓,✓,✗,✗,✗,✗,✗
Sermon Creation,✓,✓,✓,✓,✓,✗,✗,✗,✗
Devotional Creation,✓,✓,✓,✓,✓,✗,✗,✗,✗
Event Management,✓,✓,✓,✓,✓,✓,✗,✗,✗
Event Creation,✓,✓,✓,✓,✓,✓,✗,✗,✗
Event Moderation,✓,✓,✓,✓,✓,✗,✗,✗,✗
Prayer Response,✓,✓,✓,✓,✓,✓,✗,✗,✗
Prayer Creation,✓,✓,✓,✓,✓,✓,✓,✓,✓
Prayer Moderation,✓,✓,✓,✓,✓,✗,✗,✗,✗
Discussion Management,✓,✓,✓,✓,✓,✓,✗,✗,✗
Social Media Management,✓,✓,✓,✗,✗,✗,✓,✗,✗
Public Post Creation,✓,✓,✓,✗,✗,✗,✓,✗,✗
Community Interaction,✓,✓,✓,✓,✓,✓,✓,✓,✓
Comment Creation,✓,✓,✓,✓,✓,✓,✓,✓,✓
Like/React to Content,✓,✓,✓,✓,✓,✓,✓,✓,✓
Member Directory Access,✓,✓,✓,✓,✓,✓,✗,✗,Limited
Analytics Access,✓,✓,✓,✓,✗,✗,✗,✗,✗
Financial Reports,✓,✓,✓,✗,✗,✗,✗,✗,✗
Volunteer Management,✓,✓,✓,✓,✓,✓,✗,✗,✗
Ministry Management,✓,✓,✓,✓,✓,✓,✗,✗,✗
Settings Management,✓,✓,✓,✗,✗,✗,✗,✗,✗
Backup/Export Data,✓,✓,✓,✗,✗,✗,✗,✗,✗
Integration Management,✓,✓,✓,✗,✗,✗,✗,✗,✗